date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:34	178655/178655	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-2b9df%22	http://bankhar.mn/shopse/demos/img/portfolio/15.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/15.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:30:46	215840/215840	---M--	200	added ('OK')	image/png	etag:%225be04619-34b20%22	http://bankhar.mn/shopse/demos/img/product/product11.png	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/product11.png	(from http://bankhar.mn/shopse/demos/index-16.html)
17:30:53	192474/192474	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-2efda%22	http://bankhar.mn/shopse/demos/img/portfolio/16.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/16.jpg	(from http://bankhar.mn/shopse/demos/index-17.html)
17:31:04	198825/198825	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-308a9%22	http://bankhar.mn/shopse/demos/img/portfolio/17.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/17.jpg	(from http://bankhar.mn/shopse/demos/index-17.html)
17:31:05	70229/70229	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-11255%22	http://bankhar.mn/shopse/demos/img/portfolio/20.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/20.jpg	(from http://bankhar.mn/shopse/demos/index-19.html)
17:31:09	210719/210719	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-3371f%22	http://bankhar.mn/shopse/demos/img/portfolio/18.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/18.jpg	(from http://bankhar.mn/shopse/demos/index-17.html)
17:31:14	54420/54420	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-d494%22	http://bankhar.mn/shopse/demos/img/portfolio/22.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/22.jpg	(from http://bankhar.mn/shopse/demos/index-19.html)
17:31:16	76286/76286	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-129fe%22	http://bankhar.mn/shopse/demos/img/portfolio/21.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/21.jpg	(from http://bankhar.mn/shopse/demos/index-19.html)
17:31:20	208875/208875	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-32feb%22	http://bankhar.mn/shopse/demos/img/portfolio/19.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/19.jpg	(from http://bankhar.mn/shopse/demos/index-17.html)
17:31:21	71152/71152	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-115f0%22	http://bankhar.mn/shopse/demos/img/portfolio/23.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/23.jpg	(from http://bankhar.mn/shopse/demos/index-19.html)
17:31:23	57112/57112	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-df18%22	http://bankhar.mn/shopse/demos/img/portfolio/24.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/24.jpg	(from http://bankhar.mn/shopse/demos/index-19.html)
17:31:41	130093/130093	---M--	200	added ('OK')	image/jpeg	etag:%225be0461a-1fc2d%22	http://bankhar.mn/shopse/demos/img/slider/slide20.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/slider/slide20.jpg	(from http://bankhar.mn/shopse/demos/index-20.html)
17:31:44	175403/175403	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-2ad2b%22	http://bankhar.mn/shopse/demos/img/portfolio/25.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/25.jpg	(from http://bankhar.mn/shopse/demos/index-19.html)
17:31:45	1411/1411	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be0461a-583%22	http://bankhar.mn/shopse/demos/js/vendor/arparallax.min.js	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/js/vendor/arparallax.min.js	(from http://bankhar.mn/shopse/demos/index-20.html)
17:31:48	156425/156425	---M--	200	added ('OK')	image/jpeg	etag:%225be0461a-26309%22	http://bankhar.mn/shopse/demos/img/slider/slide22.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/slider/slide22.jpg	(from http://bankhar.mn/shopse/demos/index-20.html)
17:31:56	48664/48664	---M--	200	added ('OK')	image/jpeg	etag:%225be0461a-be18%22	http://bankhar.mn/shopse/demos/img/slider/slide25.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/slider/slide25.jpg	(from http://bankhar.mn/shopse/demos/index-21.html)
17:31:59	239018/239018	---M--	200	added ('OK')	image/jpeg	etag:%225be0461a-3a5aa%22	http://bankhar.mn/shopse/demos/img/slider/slide21.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/slider/slide21.jpg	(from http://bankhar.mn/shopse/demos/index-20.html)
